Iteration,triplet,R_Squared,Train_MSE,Validation_MSE
1,"(7, 0.1, 100)",0.28637179626975034,5536.00582852452,5594.9844658098355
11,"(2, 0.3571428571428572, 100)",0.4026751467853851,3687.3180170220503,4731.006545417762
21,"(3, 0.3571428571428572, 100)",0.4206806310639649,3174.808412697047,4594.8756797929445
31,"(2, 0.3571428571428572, 100)",0.48079832736086664,1672.539894911261,4131.245564139893
41,"(2, 0.3571428571428572, 100)",0.4987327360459302,1486.2002606077463,3986.2127617568826
51,"(2, 0.3571428571428572, 100)",0.5036751679780507,1332.5305505942208,3953.445839231571
61,"(2, 0.3571428571428572, 100)",0.5034531092938745,1312.6223770909069,3951.451142551194
71,"(2, 0.2285714285714286, 100)",0.5225727593750309,1358.5623877438015,3811.553653942529
81,"(2, 0.48571428571428577, 100)",0.5379564150327578,1155.9292576930807,3685.4837881313665
91,"(2, 0.48571428571428577, 100)",0.5409470166002591,1145.9625315639446,3653.71863521454
101,"(2, 0.48571428571428577, 100)",0.5412438852412466,1140.0449755765835,3645.9660739749334
111,"(2, 0.48571428571428577, 100)",0.5431445902290195,1131.1287585036691,3633.9207876094433
121,"(2, 0.3571428571428572, 100)",0.5418919215976494,1167.8159401554663,3644.942440993303
131,"(2, 0.6142857142857143, 100)",0.5483349182568983,1080.4155672571044,3602.210887818352
141,"(2, 0.3571428571428572, 100)",0.5549799083890868,1121.194708561422,3540.732597242238
151,"(3, 0.48571428571428577, 100)",0.5513313043131116,1496.9385569095482,3576.2410480683843
161,"(2, 0.48571428571428577, 100)",0.5549198250753347,1082.50285477108,3539.7559968339433
171,"(2, 0.48571428571428577, 100)",0.5563340044640015,1095.6351799907993,3525.7974151710564
181,"(2, 0.2285714285714286, 100)",0.5560094807701951,1151.2739490028519,3535.6434432889
191,"(2, 0.6142857142857143, 100)",0.5527425451695751,1073.8556984950817,3543.2536083961595
201,"(2, 0.3571428571428572, 100)",0.5592466755248945,1090.9353374319478,3503.6518380666034
211,"(2, 0.48571428571428577, 100)",0.5636491260577154,1056.8080454609108,3475.1143630864435
221,"(2, 0.3571428571428572, 100)",0.5596809577692886,1063.049939432366,3503.591585790674
231,"(2, 0.48571428571428577, 100)",0.5598735794230205,1071.3910779150006,3503.950953550535
241,"(2, 0.48571428571428577, 100)",0.5593247326410479,1074.7875890507141,3511.05463927045
