Iteration,Min_samples_leaf,R_Squared,Train_MSE,Validation_MSE
1,5,0.2870327639220796,5528.5066961565,5596.394551648189
11,37,0.36663739803016904,4821.164924744754,4986.801591809153
21,50,0.36996670506986373,4713.517767082767,4958.765066613632
31,37,0.3878422819504925,4346.128737004893,4824.105154469021
41,37,0.39405918267114465,4249.943350904531,4770.3879989145735
51,37,0.3940864796707545,4222.734486401902,4775.147187653587
61,50,0.39407754520695965,4350.449136122823,4766.292971536396
71,50,0.39344159695799524,4324.072871897886,4767.903895877413
81,37,0.39393722943956133,4120.841808557377,4786.01213650649
91,37,0.39305221397380885,4126.39406002959,4790.048823763664
101,37,0.39159909170107576,4118.6227170431175,4790.898727582793
111,37,0.3913511747476382,4119.557309072909,4792.873657685913
121,37,0.387803496009221,4125.644308452858,4810.761593634352
131,37,0.3896127615077748,4112.194440311043,4804.876282881466
141,37,0.3980550372497837,4113.987474679814,4743.7220789326475
151,37,0.3962653442390354,4121.29579513918,4758.227965253776
161,37,0.39110623008530304,4099.330642127943,4788.029046952085
171,50,0.38656915767331734,4349.81012730607,4829.764737334624
181,37,0.37944995863762215,4114.546905820656,4878.573804023808
191,37,0.38432926254533034,4059.539837449338,4840.625508523934
201,37,0.3811494019526914,4031.260784647415,4869.738081867557
211,37,0.3823887260233924,4035.4549282283297,4853.892718386886
221,37,0.38294027352969606,4071.0203824310024,4850.639713678918
231,37,0.3840832043794796,4028.8869582271486,4840.8701615595
241,37,0.3832945771506123,4042.992899162812,4843.468878703277
