Iteration,Min_samples_leaf,R_Squared,Train_MSE,Validation_MSE
1,5,0.286422657137479,5526.375367208026,5598.34768039816
11,4,0.3902427810745233,3849.928561704105,4818.782026373396
21,5,0.40373748322084796,3305.972695109961,4713.727120647202
31,4,0.4626341211598418,2282.631081160146,4250.7834584372395
41,4,0.4810060026895659,2113.581277302509,4104.045152671235
51,3,0.47869548022686825,1707.6457949462813,4126.707000916623
61,3,0.4912243671833343,1641.246082954044,4035.945495963322
71,3,0.5000133111030276,1617.7351302368488,3972.2325741982145
81,3,0.5249357913803344,1510.4288518920516,3769.311143827923
91,3,0.5267195046312149,1521.7921077445158,3757.971081284908
101,3,0.5275884958656528,1498.3907610683825,3747.4386182690896
111,3,0.5255800745684854,1487.0311212562456,3763.3522106335054
121,3,0.5327089883792565,1491.6776092844161,3716.4054399479683
131,3,0.5343680685678224,1480.0699374066505,3705.5850615780337
141,3,0.5412341368721482,1449.1813489767687,3637.985548619712
151,3,0.5389107425542423,1452.7826688546677,3656.4358534149032
161,3,0.5418892838022998,1437.1265968807274,3633.3482574381414
171,3,0.5408913292922584,1447.596475678417,3640.3569031469115
181,3,0.5394384550451424,1435.5337706964315,3652.9563139177058
191,3,0.538991046990236,1433.362579128349,3657.325174358392
201,3,0.545882137989472,1394.7439331598016,3606.4045369909086
211,3,0.5474108972534065,1386.8958195950227,3598.383767260202
221,3,0.5472567712121374,1388.1765771360574,3599.7887634056983
231,3,0.549436468778966,1379.8480169912154,3584.656684164608
241,3,0.551208394709542,1389.7710436615114,3571.8076175809156
